number,reaction,rate,beta,Ea,comment
(R110),O2(b) + O(3P) -> O2 + O(3P)            ,8.00e-14    ,        0   ,    0        ,[77]
(R111),O2(b) + H2O -> O2 + H2O              ,4.60e-12    ,        0   ,    0        ,[77]
(R112),O2(b) + O3 -> O2(a) + O2(a) + O(3P)   ,1.80e-11    ,        0   ,    0        ,[66]
(R113),O2(b) + NO -> O2(a) + NO             ,4.00e-14    ,        0   ,    0        ,[66]
(R114),O2(A) + O2 -> O2(b) + O2(b)          ,2.90e-13    ,        0   ,    0        ,[66]
(R115),O2(A) + N2 -> O2(b) + N2             ,3.00e-13    ,        0   ,    0        ,[66]
(R116),O2(A) + O(3P) -> O2(b) + O(1D)         ,9.00e-12    ,        0   ,    0        ,[66]
(R117),O(3P) + O2 + N2 -> O3 + N2          ,5.51e-34    ,       -2.6 ,    0        ,[77]
(R118),O(3P) + O2 + O2 -> O3 + O2          ,6.01e-34    ,       -2.6 ,    0        ,[77]
(R119),O(3P) + O(3P) + N2 -> O2 + N2      ,9.46e-34    ,        0   ,   -484.7    ,[78]
(R120),O(3P) + O(3P) + O2 -> O2 + O2      ,3.81e-33    ,       -0.63,    0        ,[79]
(R121),O(3P) + N(4S) + N2 -> NO + N2      ,6.89e-33    ,        0   ,   -134.7    ,[78]
(R122),O(3P) + NO + N2 -> NO2 + N2         ,1.03e-30    ,       -2.87,   -780.5    ,[80]
(R123),O(3P) + HO2 -> OH + O2              ,2.70e-11    ,        0   ,   -224      ,[77]
(R124),O(3P) + NO2 -> O2 + NO              ,5.50e-12    ,        0   ,    187.9    ,[77]
(R125),O(1D) + O2 -> O(3P) + O2           ,3.12e-11    ,        0   ,   -70       ,[81]
(R126),O(1D) + N2 -> O(3P) + N2           ,2.10e-11    ,        0   ,   -115      ,[81]
(R127),O(1D) + H2 -> OH + H                ,1.10e-10    ,        0   ,    0        ,[77]
(R128),O(1D) + H2O -> OH + OH              ,2.20e-10     ,        0   ,    0        ,[77]
(R129),O(1D) + H2O -> H2 + O2              ,3.57e-10    ,        0   ,    0        ,[82]
(R130),O(1D) + H2O2 -> H2O + O2            ,5.20e-10    ,        0   ,    0        ,[77]
(R131),O(1S) + H2O -> O(3P) + H2O           ,3.00e-10    ,        0   ,    0        ,[83]
(R132),O(1S) + H2O -> OH + OH              ,5.00e-10    ,        0   ,    0        ,[83]
(R133),O(1S) + H2O -> H2 + O2              ,5.00e-10    ,        0   ,    0        ,[83]
(R134),O3 + H -> OH + O2                    ,1.40e-10    ,        0   ,    480      ,[74]
(R135),O3 + NO -> NO2 + O2                  ,3.16e-12    ,        0   ,   -1563     ,[46]
(R136),O3 + O(3P) -> O2 + O2                 ,8.00e-12    ,        0   ,    2060     ,[77]
(R137),O3 + O(1D) -> O2 + O(3P) + O(3P)        ,1.20e-10    ,        0   ,    0        ,[74]
(R138),O3 + OH -> HO2 + O2                  ,1.70e-12    ,        0   ,    940      ,[77]
(R139),O3 + O3 -> O2 + O(3P) + O3          ,7.16e-10    ,        0   ,    11200    ,[84]
(R140),OH + OH + N2 -> H2O2 + N2            ,6.90e-31    ,       -0.8 ,    0        ,[77]
(R141),OH + OH + O2 -> H2O2 + O2            ,6.05e-31    ,       -3   ,    0        ,[74]
(R142),OH + OH + H2O -> H2O2 + H2O          ,1.54e-31    ,       -2   ,   -183.6    ,[86]
(R143),OH + OH -> H2O2                      ,2.60e-11     ,        0   ,    0        ,[77]
(R144),OH + OH -> H2O + O(3P)              ,6.20e-14     ,        2.6 ,   -945      ,[77]
(R145),OH + H + N2 -> H2O + N2              ,6.87e-31    ,       -2   ,    0        ,[86]
(R146),OH + H + H2O -> H2O + H2O            ,4.38e-31    ,       -2   ,    0        ,[86]
(R147),OH + HO2 -> H2O + O2                 ,4.80e-11     ,        0   ,   -250      ,[77]
(R148),OH + N(4S) -> NO + H                ,3.80e-11    ,        0   ,   -85.39    ,[72]
(R149),OH + O(3P) -> O2 + H                ,2.40e-11    ,        0   ,   -110        ,[77]
(R150),OH + NO + N2 -> HNO2 + N2            ,7.40e-31    ,       -2.4 ,    0          ,[74]
(R151),OH + NO + O2 -> HNO2 + O2            ,7.40e-31    ,       -2.4 ,    0          ,[74]
(R152),OH + NO2 + N2 -> HNO3 + N2           ,2.60e-30    ,       -2.9 ,    0          ,[74]
(R153),OH + NO2 + O2 -> HNO3 + O2           ,2.20e-30    ,       -2.9 ,    0          ,[74]
(R154),HO2 + HO2 -> H2O2 + O2               ,2.20e-19    ,        0   ,   -600.2      ,[77]
(R155),HO2 + NO -> OH + NO2                 ,3.60e-12    ,        0   ,   -269.4      ,[77]
(R156),HO2 + HO2 + N2 -> H2O2 + O2 + N2     ,1.90e-33    ,        0   ,   -980        ,[74]
(R157),HO2 + HO2 + O2 -> H2O2 + O2 + O2     ,1.90e-33    ,        0   ,   -980        ,[74]
(R158),HO2 + NO2 -> HNO2 + O2               ,1.20e-13    ,        0   ,    0          ,[85]
(R159),H + HO2 -> H2 + O2                   ,1.75e-10    ,        0   ,    1030       ,[86]
(R160),H + HO2 -> H2O + O(3P)              ,5.00e-11    ,        0   ,    866        ,[87]
(R161),H + HO2 -> OH + OH                   ,7.40e-10    ,        0   ,    700      ,[86]
(R162),H + O2 + O2 -> HO2 + O2              ,5.94e-32    ,       -1.0 ,    0          ,[46]
(R163),H + O2 + N2 -> HO2 + N2              ,5.94e-32    ,       -1.0 ,    0          ,[46]
