reaction,rate,unit,reference,DOI,comment
N4+ + O2 -> O2+ + 2N2, 2.50e-10, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O4+ + N2 -> N2O2+ + O2, 4.61e-12*(Tg/300)**2.5*exp(-2650/Tg), cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O4+ + O2 -> O2+ + 2O2, 3.30e-6*(300/Tg)**4*exp(-5030/Tg), cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O4+ + O2*(a) -> O2+ + 2O2, 1.00e-10, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O4+ + O2*(b) -> O2+ + 2O2, 1.00e-10, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O4+ + O(^3P) -> O2+ + O3, 3.00e-10, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O4+ + O(^1D) -> O2+ + O3, 3.00e-10, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O4+ + O(^1S) -> O2+ + O3, 3.00e-10, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N2O2+ + N2 -> O2+ + 2N2, 1.10e-6*(Tg/300)**-5.3*exp(-2357/Tg), cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N2O2+ + O2 -> O4+ + N2, 1.00e-9, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N2+ + N2 + M -> N4+ + M, 5.20e-29*(300/Tg)**2.2, cm, \cite{Guthrie:1991}, https://doi.org/10.1063/1.461101,
O2+ + O2 + M -> O4+ + M, 2.40e-30*(300/Tg)**3.2, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011, 
O2+ + N2 + N2 -> N2O2+ + N2, 9.00e-31*(300/Tg)**2.0, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2- + O2+ + O2 -> 2O(^3P) + 2O2, 2.00e-25*(300/Tg)**2.5, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201,
O2- + O4+ + O2 -> 2O(^3P) + 3O2, 2.00e-25*(300/Tg)**2.5, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201,
N2*(A1) + O2 -> N2 + O(^3P) + O(^3P), 1.70e-12, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201,
N2*(A1) + O2 -> N2 + O2*(b), 7.50e-13, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201,
N2*(A1) + N2*(A1) -> N2 + N2*(E), 1.00e-11, cm, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
N2*(A1) + N2*(A1) -> N2 + N2*(B), 7.70e-11, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201,
N2*(A1) + N2*(A1) -> N2 + N2*(C), 1.60e-10, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201,
N2*(A1) + O(^3P) -> N2 + O(^1S), 3.00e-11, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201,
N2*(A1) + O(^3P) -> NO + N(^2D), 7.00e-12, cm, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
N2*(A1) + O(^3P) -> N2 + O(^3P), 2.00e-11, cm, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
N2*(A1) + NO -> N2 + NO(A), 6.90e-11, cm, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
N2*(A2) + N2 -> N2*(A1) + N2, 1.00e-11, cm, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
N2*(A2) + O(^3P) -> N2 + O(^3P), 2.00e-11, cm, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
N2*(A2) + NO -> N2 + NO(A), 6.90e-11, cm, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
N2*(A2) + O(^3P) -> NO + N(^4S), 7.00e-12, cm, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
N2*(B) + O2 -> N2 + O(^3P) + O(^3P), 3.00e-10, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201,
N2*(B) + N2 -> N2*(A1) + N2, 1.00e-11, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201,
N2*(B) -> N2*(A1) + h_nu, 1.10e5, s, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
N2*(a) + O2 -> N2 + O(^3P) + O(^1D), 2.80e-11, cm,\cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201,
N2*(a) + N2 -> N2*(B) + N2, 2.00e-13, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201,
N2*(a) + NO -> N2 + N(^4S) + O(^3P), 3.60e-10, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N2*(C) + O2 -> N2 + O(^3P) + O(^3P), 2.50e-10, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201,
N2*(C) + N2 -> N2*(B) + N2, 1.00e-11, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201,
N2*(C) + N2 -> N2*(a) + N2, 1.00e-11, cm, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
N2*(C) -> N2*(B) + h_nu, 2.80e7, s, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
N2*(E) + N2 -> N2*(C) + N2, 1.00e-11, cm, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305, 
NO(A) -> NO + h_nu, 5.10e6, s, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
NO(A) + O2 -> NO + O2, 1.62e-10, cm, \cite{Paul:1996}, https://doi.org/10.1016/0009-2614(96)00763-4,
N(^2D) + O2 -> NO + O(^1D), 7.37e-12*exp(-185/Tg), cm, \cite{Herron:1999}, https://doi.org/10.1063/1.556043,
N(^2D) + O2 -> NO + O(^3P), 2.52e-12*exp(-185/Tg), cm, \cite{Herron:1999}, https://doi.org/10.1063/1.556043,
N(^2D) + NO -> N2 + O(^3P), 1.80e-10, cm, \cite{Capitelli:2000}, https://doi.org/10.1007/978-3-662-04158-1,
N(^2D) + N2 -> N(^4S) + N2, 1.70e-14, cm, \cite{Herron:1999}, https://doi.org/10.1063/1.556043,
N(^2D) + O(^3P) -> N(^4S) + O(^3P), 3.30e-12*exp(-260/Tg), cm, \cite{Herron:1999}, https://doi.org/10.1063/1.556043,
N(^4S) + NO -> N2 + O(^3P), 3.51e-11*exp(49.84/Tg), cm, \cite{Gordillo:2008}, https://doi.org/10.1088/0022-3727/41/23/234016,
N(^4S) + N(^4S) + N2 -> N2 + N2, 1.38e-33*exp(502.9/Tg), cm, \cite{Clyne:1967}, https://doi.org/10.1021/j100868a056,
N(^4S) + NO2 -> NO + NO, 2.30e-12, cm, \cite{Gordillo:2008}, https://doi.org/10.1088/0022-3727/41/23/234016,
N(^4S) + NO2 -> O(^3P) + N2O, 5.80e-12*exp(220/Tg), cm, \cite{DeMore:1997}, https://jpldataeval.jpl.nasa.gov/pdf/Atmos97_Anotated.pdf,
N(^4S) + O2 -> NO + O(^3P), 9.70e-15*Tg**1.01*exp(-3120/Tg), cm, \cite{Baulch:2005}, https://doi.org/10.1063/1.1748524, 
O2*(a) + N(^4S) -> O(^3P) + NO, 9.00e-17, cm, \cite{DeMore:1997}, https://jpldataeval.jpl.nasa.gov/pdf/Atmos97_Anotated.pdf,
O2*(a) + O(^3P) -> O(^3P) + O2, 7.00e-16, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2*(a) + O2 -> O2 + O2, 2.20e-18*(Tg/300)**0.8, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2*(a) + N2 -> O2 + N2, 1.4e-19, cm, \cite{Atkinson:1989}, https://doi.org/10.1063/1.555832,
O2*(a) + NO -> NO + O2, 3.49e-17, cm, \cite{Boodaghians:1983}, https://doi.org/10.1016/0009-2614(83)85015-5,
O2*(b) + N2 -> O2*(a) + N2, 2.10e-15, cm, \cite{Atkinson:2004}, https://doi.org/10.5194/acp-4-1461-2004,
O2*(b) + O2 -> O2*(a) + O2, 4.10e-17, cm, \cite{Atkinson:2004}, https://doi.org/10.5194/acp-4-1461-2004,
O2*(b) + O(^3P) -> O2 + O(^3P), 8.00e-14, cm, \cite{Atkinson:2004}, https://doi.org/10.5194/acp-4-1461-2004,
O2*(b) + O3 -> O2 + O2 + O(^3P), 1.80e-11, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2*(b) + NO -> O2*(a) + NO, 4.00e-14, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2*(A) + O2 -> O2*(b) + O2*(b), 2.90e-13, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2*(A) + N2 -> O2*(b) + N2, 3.00e-13, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2*(A) + O(^3P) -> O2*(b) + O(^1D), 9.00e-12, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O(^3P) + O2 + N2 -> O3 + N2, 5.60e-34*(Tg/300)**-2.6, cm, \cite{Atkinson:2004}, https://doi.org/10.5194/acp-4-1461-2004, 
O(^3P) + O2 + O2 -> O3 + O2, 6.00e-34*(Tg/300)**-2.6, cm, \cite{Atkinson:2004}, https://doi.org/10.5194/acp-4-1461-2004, 
O(^3P) + O(^3P) + N2 -> O2 + N2, 9.46e-34*exp(-484.7/Tg), cm, \cite{Campbell:1973}, https://doi.org/10.1016/0009-2614(73)80479-8,
O(^3P) + O(^3P) + O2 -> O2 + O2, 4.49e-33, cm, \cite{Marshall:1962}, https://doi.org/10.1063/1.1724443,
O(^3P) + N(^4S) + N2 -> NO + N2, 6.89e-33*exp(134.7/Tg), cm, \cite{Campbell:1973}, https://doi.org/10.1016/0009-2614(73)80479-8,
O(^3P) + NO + N2 -> NO2 + N2, 1.03e-30*(Tg/300)**-2.87*exp(-780.5/Tg), cm, \cite{Tsang:1991}, https://doi.org/10.1063/1.555890,
O(^3P) + NO2 -> O2 + NO, 5.50e-12*exp(187.9/Tg), cm, \cite{Atkinson:2004}, https://doi.org/10.5194/acp-4-1461-2004,
O(^1D) + O2 -> O(^3P) + O2, 3.12e-11*exp(70/Tg), cm, \cite{Dunlea:2004}, https://doi.org/10.1039/b400247d,
O(^1D) + N2 -> O(^3P) + N2, 2.10e-11*exp(115/Tg), cm, \cite{Dunlea:2004}, https://doi.org/10.1039/b400247d,
O3 + NO -> NO2 + O2, 3.16e-12*exp(-1563/Tg), cm, \cite{Ray:1981}, https://doi.org/10.1021/j150612a015,
O3 + O(^3P) -> O2 + O2, 8.00e-12*exp(-2060/Tg), cm, \cite{Atkinson:2004}, https://doi.org/10.5194/acp-4-1461-2004,
O3 + O(^1D) -> O2 + 2O(^3P), 1.20e-10, cm, \cite{Atkinson:1989}, https://doi.org/10.1063/1.555832,
O3 + O3 -> O2 + O(^3P) + O3, 7.16e-10*exp(-11200/Tg), cm, \cite{Heimerl:1979}, https://doi.org/10.1016/0010-2180(79)90015-4,
