reaction,rate,unit,reference,DOI,comment
O- + N2*(A1) -> e + N2 + O(^3P), 2.20e-9, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O- + N2*(B) -> e + N2 + O(^3P), 1.90e-9, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O- + O(^3P) -> e + O2, 5.00e-10, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O- + N(^4S) -> e + NO, 2.60e-10, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2- + O2*(a) -> e + 2O2, 2.00e-10, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2- + O2*(b) -> e + 2O2, 3.60e-10, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2- + N2*(A1) -> e + O2 + N2, 2.10e-9, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2- + N2*(B) -> e + O2 + N2, 2.50e-9, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2- + O(^3P) -> e + O3, 1.50e-10, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2- + N(^4S) -> e + NO2, 5.00e-10, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O3- + O(^3P) -> e + 2O2, 3.00e-10, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O- + O2 -> O2- + O(^3P), 6.96e-11*exp(-(198/(5.6+Td))**2), cm, \cite{Pancheshnyi:2013}, https://doi.org/10.1088/0022-3727/46/15/155201,
O- + O2 + M -> O3- + M, 1.10e-30*exp(-(Td/65)**2), cm, \cite{Pancheshnyi:2013}, https://doi.org/10.1088/0022-3727/46/15/155201,
O- + O3 -> O3- + O(^3P), 5.30e-10, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2- + O2 + M -> O4- + M, 3.50e-31*(300/Tg)**1, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2- + O3 -> O3- + O2, 4.00e-10, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2- + O(^3P) -> O- + O2, 3.30e-10, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O3- + O(^3P) -> O2- + O2, 3.20e-10, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N2+ + O2 -> O2+ + N2, 6.00e-11*(300/Tg)**0.5, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N2+ + O3 -> O2+ + N2 + O(^3P), 1.00e-10, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N2+ + N2 + M -> N4+ + M, 5.20e-29*(300/Tg)**2.2, cm, \cite{Guthrie:1991}, https://doi.org/10.1063/1.461101,
N2+ + N2*(A1) -> N3+ + N(^4S), 3.00e-10, cm, \cite{Guthrie:1991}, https://doi.org/10.1063/1.461101,
N2+ + O(^3P) -> O+ + N2, 1.00e-11*(300/Tg)**0.2, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N2+ + O(^3P) -> NO+ + N(^4S), 1.30e-10*(300/Tg)**0.5, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N2+ + N(^4S) + M -> N3+ + M, 9.00e-30*exp(400/Tg), cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N2+ + N(^4S) -> N+ + N2, 2.40e-15*Tg**1, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N4+ + O2 -> O2+ + 2N2, 2.50e-10, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N4+ + N2 -> N2+ + 2N2, 10**(-14.6+0.0036*(Tg-300)), cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N4+ + O(^3P) -> O+ + 2N2, 2.50e-10, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N4+ + N(^4S) -> N+ + 2N2, 1.00e-11, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2+ + O2 + M -> O4+ + M, 2.40e-30*(300/Tg)**3.2, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2+ + N2 + N2 -> N2O2+ + N2, 9.00e-31*(300/Tg)**2.0, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2+ + N2 -> NO+ + NO, 1.00e-17, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2+ + N(^4S) -> NO+ + O(^3P), 1.20e-10, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O4+ + O2 -> O2+ + 2O2, 3.30e-6*(300/Tg)**4*exp(-5030/Tg), cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O4+ + O2*(a) -> O2+ + 2O2, 1.00e-10, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O4+ + O2*(b) -> O2+ + 2O2, 1.00e-10, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O4+ + N2 -> N2O2+ + O2, 4.61e-12*(Tg/300)**2.5*exp(-2650/Tg), cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O4+ + O(^3P) -> O2+ + O3, 3.00e-10, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N2O2+ + O2 -> O4+ + N2, 1.00e-9, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N2O2+ + N2 -> O2+ + 2N2, 1.10e-6*(300/Tg)**5.3*exp(-2357/Tg), cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
e + e + N2+ -> e + N2, 1.00e-19*(300/Te)**4.5, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
e + N2+ + M -> N2 + M, 6.00e-27*(300/Te)**1.5, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
e + N2+ -> N(^4S) + N(^4S), 2.80e-7*(300/Te)**0.5, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
e + N2+ -> N(^4S) + N(^2D), 2.00e-7*(300/Te)**0.5, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
e + N4+ -> N2 + N2*(C), 2.00e-6*(300/Te)**0.5, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201,
e + e + O2+ -> e + O2, 1.00e-19*(300/Te)**4.5, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
e + O2+ + M -> O2 + M, 6.00e-27*(300/Te)**1.5, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
e + O2+ -> O(^3P) + O(^3P), 2.40e-7*(300/Te)**0.7, cm, \cite{Peverall:2001}, https://doi.org/10.1063/1.1349079,
e + O2+ -> O(^3P) + O(^1D), 1.95e-7*(300/Te)**0.7, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201,
e + O4+ -> 2O2, 1.40e-6*(300/Te)**0.5, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
e + O4+ -> O2 + 2O(^3P), 4.20e-6*(300/Te)**0.48, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201,
e + O4+ -> O2 + O(^3P) + O(^1D), 4.20e-6*(300/Te)**0.48, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201,
e + N2O2+ -> N2 + O2, 1.30e-6*(300/Te)**0.5, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N2+ + O- + M -> N2O + M, 2.00e-25*(300/Tg)**2.5, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N2+ + O- + M -> N2 + O(^3P) + M, 2.00e-25*(300/Tg)**2.5, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N2+ + O- -> N2 + O(^3P), 2.00e-7*(300/Tg)**0.5, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N2+ + O- -> 2N(^4S) + O(^3P), 1.00e-7, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N2+ + O2- + M -> N2 + O2 + M, 2.00e-25*(300/Tg)**2.5, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N2+ + O2- -> N2 + O2, 2.00e-7*(300/Tg)**0.5, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N2+ + O2- -> O2 + 2N(^4S), 1.00e-7, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N2+ + O3- -> N2 + O3, 2.00e-7*(300/Tg)**0.5, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N2+ + O3- -> O3 + 2N(^4S), 1.00e-7, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N4+ + O- -> 2N2 + O(^3P), 1.00e-7, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N4+ + O2- -> 2N2 + O2, 1.00e-7, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N4+ + O3- -> 2N2 + O3, 1.00e-7, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2+ + O- + M -> O3 + M, 2.00e-25*(300/Tg)**2.5, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2+ + O- + M -> O2 + O(^3P) + M, 2.00e-25*(300/Tg)**2.5, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2+ + O- -> O2 + O(^3P), 2.00e-7*(300/Tg)**0.5, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2+ + O- -> 3O(^3P), 1.00e-7, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2+ + O2- + M -> 2O2 + M, 2.00e-25*(300/Tg)**2.5, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2+ + O2- + O2 -> 2O2 + 2O(^3P), 2.00e-25*(300/Tg)**2.5, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201,
O2+ + O2- -> 2O2, 2.00e-7*(300/Tg)**0.5, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2+ + O2- -> O2 + 2O(^3P), 1.00e-7, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2+ + O3- -> O2 + O3, 2.00e-7*(300/Tg)**0.5, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2+ + O3- -> O3 + 2O(^3P), 1.00e-7, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O4+ + O- -> 2O2 + O(^3P), 1.00e-7, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O4+ + O2- + O2 -> 3O2 + 2O(^3P), 2.00e-25*(300/Tg)**2.5, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201,
O4+ + O2- -> 3O2, 1.00e-7, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O4+ + O3- -> 2O2 + O3, 1.00e-7, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N2*(A1) + O2 -> N2 + O2*(b), 7.50e-13, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201,
N2*(A1) + O2 -> N2 + 2O(^3P), 1.70e-12, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201,
N2*(A1) + O2 -> N2O + O(^3P), 7.80e-14, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N2*(A1) + N2 -> 2N2, 3.00e-16, cm, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
N2*(A1) + N2*(A1) -> N2 + N2*(B), 7.70e-11, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201,
N2*(A1) + N2*(A1) -> N2 + N2*(C), 1.60e-10, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201,
N2*(A1) + N2*(A1) -> N2 + N2*(E), 1.00e-11, cm, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
N2*(A1) + O(^3P) -> N2 + O(^3P), 2.00e-11, cm, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
N2*(A1) + O(^3P) -> N2 + O(^1S), 3.00e-11, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201,
N2*(A1) + O(^3P) -> NO + N(^2D), 7.00e-12, cm, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
N2*(A1) + N(^4S) -> N2 + N(^2P), 5.00e-11, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N2*(A2) + N2 -> 2N2, 3.00e-16, cm, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
N2*(A2) + N2 -> N2 + N2*(A1), 1.00e-11, cm, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
N2*(A2) + O(^3P) -> N2 + O(^3P), 2.00e-11, cm, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
N2*(A2) + O(^3P) -> NO + N(^4S), 7.00e-12, cm, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
N2*(B) + O2 -> N2 + 2O(^3P), 3.00e-10, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201,
N2*(B) + N2 -> N2 + N2*(A1), 1.00e-11, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201,
N2*(B) -> N2*(A1) + h_nu, 1.10e5, s, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
N2*(a) + O2 -> N2 + O(^3P) + O(^1D), 2.80e-11, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201,
N2*(a) + N2 -> N2 + N2*(B), 2.40e-13, cm, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
N2*(C) + O2 -> N2 + 2O(^3P), 2.50e-10, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201,
N2*(C) + O2 -> N2 + O(^3P) + O(^1S), 3.00e-10, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N2*(C) + N2 -> N2 + N2*(B), 1.00e-11, cm, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201,
N2*(C) + N2 -> N2 + N2*(a), 1.00e-11, cm, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
N2*(C) -> N2*(B) + h_nu, 2.40e7, s, \cite{Popov:2011}, https://doi.org/10.1088/0022-3727/44/28/285201,
N2*(E) + N2 -> N2 + N2*(C), 1.00e-11, cm, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
N(^4S) + O2 -> NO + O(^3P), 9.70e-15*Tg**1.01*exp(-3120/Tg), cm, \cite{Baulch:2005}, https://doi.org/10.1063/1.1748524,
N(^4S) + O3 -> NO + O2, 2.00e-16, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N(^4S) + O(^3P) + M -> NO + M, 1.76e-31*Tg**-0.5, cm, \cite{Campbell:1973}, https://doi.org/10.1016/0009-2614(73)80479-8,
N(^4S) + N(^4S) + N2 -> N2 + N2*(A1), 1.38e-34*exp(-500/Tg), cm, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
N(^4S) + N(^4S) + N2 -> N2 + N2*(A2), 1.38e-34*exp(-500/Tg), cm, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
N(^4S) + N(^4S) + N2 -> N2 + N2*(B), 2.40e-33, cm, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
N(^4S) + N(^4S) + M -> N2 + M, 8.27e-34*exp(500/Tg), cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N(^4S) + N(^2P) -> N(^4S) + N(^2D), 1.80e-12, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N(^2D) + O2 -> NO + O(^3P), 2.52e-12*exp(-185/Tg), cm, \cite{Herron:1999}, https://doi.org/10.1063/1.556043,
N(^2D) + O2 -> NO + O(^1D), 7.37e-12*exp(-185/Tg), cm, \cite{Herron:1999}, https://doi.org/10.1063/1.556043,
N(^2D) + N2 -> N2 + N(^4S), 1.70e-14, cm, \cite{Herron:1999}, https://doi.org/10.1063/1.556043,
N(^2D) + O(^3P) -> N(^4S) + O(^3P), 3.30e-12*exp(-260/Tg), cm, \cite{Herron:1999}, https://doi.org/10.1063/1.556043,
N(^2P) + O2 -> NO + O(^3P), 2.60e-12, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
N(^2P) + N2 -> N2 + N(^2D), 2.00e-18, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2*(a) + O2 -> 2O2, 2.20e-18*(Tg/300)**0.8, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2*(a) + O3 -> 2O2 + O(^3P), 9.70e-13*exp(-1564/Tg), cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2*(a) + N2 -> O2 + N2, 3.00e-21, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2*(a) + O(^3P) -> O2 + O(^3P), 7.00e-16, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2*(a) + O(^1S) -> 3O(^3P), 3.40e-11, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2*(a) + O(^1S) -> O2*(b) + O(^1D), 3.60e-11, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2*(a) + O(^1S) -> O2*(A) + O(^3P), 1.30e-10, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2*(a) + N(^4S) -> NO + O(^3P), 2.00e-14*exp(-600/Tg), cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2*(b) + O2 -> O2 + O2*(a), 4.30e-22*Tg**2.4*exp(-241/Tg), cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2*(b) + O3 -> 2O2 + O(^3P), 1.80e-11, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2*(b) + N2 -> N2 + O2*(a), 2.10e-15, cm, \cite{Atkinson:2004}, https://doi.org/10.5194/acp-4-1461-2004,
O2*(b) + O(^3P) -> O2*(a) + O(^3P), 8.00e-14, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2*(b) + O(^3P) -> O2 + O(^1D), 3.39e-11*(300/Tg)**0.1*exp(-4201/Tg), cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2*(A) + O2 -> 2O2*(b), 2.90e-13, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2*(A) + N2 -> N2 + O2*(b), 3.00e-13, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O2*(A) + O(^3P) -> O2*(b) + O(^1D), 9.00e-12, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O(^3P) + O2 + O2 -> O3 + O2, 6.00e-34*(300/Tg)**2.6, cm, \cite{Atkinson:2004}, https://doi.org/10.5194/acp-4-1461-2004,
O(^3P) + O2 + N2 -> O3 + N2, 5.60e-34*(300/Tg)**2.6, cm, \cite{Atkinson:2004}, https://doi.org/10.5194/acp-4-1461-2004,
O(^3P) + O3 -> 2O2, 8.00e-12*exp(-2060/Tg), cm, \cite{Atkinson:2004}, https://doi.org/10.5194/acp-4-1461-2004,
O(^3P) + O(^3P) + O2 -> 2O2, 2.45e-31*Tg**-0.63, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O(^3P) + O(^3P) + N2 -> O2 + N2, 2.76e-34*exp(720/Tg), cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O(^3P) + O(^1D) + N2 -> O2 + N2, 9.90e-33, cm, \cite{Fresnet:2002}, https://doi.org/10.1088/0963-0252/11/2/305,
O(^3P) + O(^1S) -> O(^3P) + O(^1D), 5.00e-11*exp(-301/Tg), cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O(^1D) + O2 -> O2 + O(^3P), 3.12e-11*exp(70/Tg), cm, \cite{Dunlea:2004}, https://doi.org/10.1039/b400247d,
O(^1D) + O2 -> O2*(b) + O(^3P), 2.56e-11*exp(67/Tg), cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O(^1D) + O3 -> 2O2, 2.37e-10*exp(6/Tg), cm, \cite{Dunlea:2004}, https://doi.org/10.1039/b400247d,
O(^1D) + O3  -> O2 + 2O(^3P), 2.37e-10*exp(6/Tg), cm, \cite{Dunlea:2004}, https://doi.org/10.1039/b400247d,
O(^1D) + N2 -> N2 + O(^3P), 2.10e-11*exp(115/Tg), cm, \cite{Dunlea:2004}, https://doi.org/10.1039/b400247d,
O(^1S) + O2 -> O2 + O(^1D), 1.33e-12*exp(-850/Tg), cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O(^1S) + O2 -> O2*(A) + O(^3P), 2.97e-12*exp(-850/Tg), cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O(^1S) + O3 -> 2O2, 2.90e-10, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O(^1S) + O3 -> O2 + O(^3P) + O(^1D), 2.90e-10, cm, \cite{Kossyi:1992}, https://doi.org/10.1088/0963-0252/1/3/011,
O3 + O3 -> O2 + O3 + O(^3P), 7.16e-10*exp(-11200/Tg), cm, \cite{Heimerl:1979}, https://doi.org/10.1016/0010-2180(79)90015-4,
