# File with transport data and reaction rates for a dry air chemistry.
# Transport data calculated using the offline BOLSIG- solver with data from the Phelps database (N2, O2).
# The reactions are primarily from:
# Kossyi:1992 (https://doi.org/10.1088/0963-0252/1/3/011)
# Gordiets:1995 (https://doi.org/10.1109/27.467998) 
# Aleksandrov:1999 (https://doi.org/10.1088/0963-0252/8/2/309)
# Fresnet:2002 (https://doi.org/10.1088/0963-0252/11/2/305)
# Tochikubo:2002 (https://doi.org/10/d9tq56)
# Atkinson:2004 (https://doi.org/10.5194/acp-4-1461-2004)
# Florescu:2006 (https://doi.org/10.1016/j.physrep.2006.04.002)
# Gordillo:2008 (https://doi.org/10.1088/0022-3727/41/23/234016)
# Popov:2011 (https://doi.org/10.1088/0022-3727/44/28/285201)
# Panchesnyi:2013 (https://doi.org/10.1088/0022-3727/46/15/155201)
# Note that e + NO2 -> NO2- and N(2D) + NO -> N2O have actually three-body nature

reaction_list
-----------------------
# Rotational excitation
e + N2 -> e + N2(J),field_table,C2 N2 Excitation 0.020 eV
e + O2 -> e + O2(J),field_table,C30 O2 Excitation 0.020 eV
# Vibrational excitation
e + N2 -> e + N2(v),field_table,C3 N2 Excitation 0.29 eV
e + N2 -> e + N2(v),field_table,C4 N2 Excitation 0.29 eV
e + N2 -> e + N2(v),field_table,C5 N2 Excitation 0.59 eV
e + N2 -> e + N2(v),field_table,C6 N2 Excitation 0.88 eV
e + N2 -> e + N2(v),field_table,C7 N2 Excitation 1.17 eV
e + N2 -> e + N2(v),field_table,C8 N2 Excitation 1.47 eV
e + N2 -> e + N2(v),field_table,C9 N2 Excitation 1.76 eV
e + N2 -> e + N2(v),field_table,C10 N2 Excitation 2.06 eV
e + N2 -> e + N2(v),field_table,C11 N2 Excitation 2.35 eV
e + O2 -> e + O2(v),field_table,C31 O2 Excitation 0.19 eV
e + O2 -> e + O2(v),field_table,C32 O2 Excitation 0.19 eV
e + O2 -> e + O2(v),field_table,C33 O2 Excitation 0.38 eV
e + O2 -> e + O2(v),field_table,C34 O2 Excitation 0.38 eV
e + O2 -> e + O2(v),field_table,C35 O2 Excitation 0.57 eV
e + O2 -> e + O2(v),field_table,C36 O2 Excitation 0.75 eV
# Electronic excitation
e + N2 -> e + N2(A),field_table,C12 N2 Excitation 6.17 eV
e + N2 -> e + N2(A),field_table,C13 N2 Excitation 7.00 eV
e + N2 -> e + N2(B),field_table,C14 N2 Excitation 7.35 eV
e + N2 -> e + N2(B),field_table,C15 N2 Excitation 7.36 eV
e + N2 -> e + N2(B),field_table,C16 N2 Excitation 7.80 eV
e + N2 -> e + N2(B),field_table,C17 N2 Excitation 8.16 eV
e + N2 -> e + N2(a),field_table,C18 N2 Excitation 8.40 eV
e + N2 -> e + N2(a),field_table,C19 N2 Excitation 8.55 eV
e + N2 -> e + N2(a),field_table,C20 N2 Excitation 8.89 eV
e + N2 -> e + N2(C),field_table,C21 N2 Excitation 11.03 eV
e + N2 -> e + N2(E),field_table,C22 N2 Excitation 11.87 eV
e + N2 -> e + N2(E),field_table,C23 N2 Excitation 12.25 eV
e + O2 -> e + O2(a),field_table,C37 O2 Excitation 0.98 eV
e + O2 -> e + O2(b),field_table,C38 O2 Excitation 1.63 eV
e + O2 -> e + O2(A),field_table,C39 O2 Excitation 4.50 eV
# Dissociation
e + N2 -> e + N(4S) + N(2D),field_table,C24 N2 Excitation 13.00 eV
e + O2 -> e + O(3P) + O(3P),field_table,C40 O2 Excitation 6.00 eV
e + O2 -> e + O(3P) + O(1D),field_table,C41 O2 Excitation 8.40 eV
e + O2 -> e + O(3P) + O(1S),field_table,C42 O2 Excitation 9.97 eV
# Ionization
e + N2 -> e + e + N2+,field_table,C25 N2 Ionization 15.60 eV
e + N2 -> e + e + N2+,field_table,C26 N2 Ionization 18.80 eV
e + O2 -> e + e + O2+,field_table,C43 O2 Ionization 12.06 eV
# Attachment
e + O2 + O2 -> O2- + O2,field_table,C27 O2 Attachment
e + O2 -> O- + O(3P),field_table,C28 O2 Attachment
6.294999999999999929e+00 0.000000000000000000e+00
6.517000000000000348e+00 0.000000000000000000e+00
6.748000000000000220e+00 0.000000000000000000e+00
6.985999999999999766e+00 0.000000000000000000e+00
7.232999999999999652e+00 0.000000000000000000e+00
7.488000000000000433e+00 0.000000000000000000e+00
7.753000000000000114e+00 0.000000000000000000e+00
8.025999999999999801e+00 0.000000000000000000e+00
8.310000000000000497e+00 0.000000000000000000e+00
8.602999999999999758e+00 0.000000000000000000e+00
8.907000000000000028e+00 0.000000000000000000e+00
9.221999999999999531e+00 0.000000000000000000e+00
9.548000000000000043e+00 0.000000000000000000e+00
9.884999999999999787e+00 0.000000000000000000e+00
1.023000000000000043e+01 0.000000000000000000e+00
1.059999999999999964e+01 0.000000000000000000e+00
1.097000000000000064e+01 0.000000000000000000e+00
1.135999999999999943e+01 0.000000000000000000e+00
1.175999999999999979e+01 0.000000000000000000e+00
1.216999999999999993e+01 0.000000000000000000e+00
1.259999999999999964e+01 0.000000000000000000e+00
1.305000000000000071e+01 0.000000000000000000e+00
1.350999999999999979e+01 0.000000000000000000e+00
1.399000000000000021e+01 0.000000000000000000e+00
1.448000000000000043e+01 0.000000000000000000e+00
1.499000000000000021e+01 2.181000000000000042e-28
1.551999999999999957e+01 5.301000000000000302e-28
1.607000000000000028e+01 1.248999999999999986e-27
1.664000000000000057e+01 1.564999999999999874e-26
1.723000000000000043e+01 3.625999999999999950e-26
1.782999999999999829e+01 8.171000000000000283e-26
1.846000000000000085e+01 1.791999999999999977e-25
1.912000000000000099e+01 3.830000000000000176e-25
1.978999999999999915e+01 8.220999999999999682e-25
2.048999999999999844e+01 1.674000000000000036e-24
2.121000000000000085e+01 3.329000000000000309e-24
2.196000000000000085e+01 6.474999999999999850e-24
2.273999999999999844e+01 1.233000000000000072e-23
2.353999999999999915e+01 2.298000000000000032e-23
2.437000000000000099e+01 4.229000000000000112e-23
2.523999999999999844e+01 7.571999999999999867e-23
2.612999999999999901e+01 1.331000000000000074e-22
2.705000000000000071e+01 2.296000000000000023e-22
2.801000000000000156e+01 3.894000000000000068e-22
2.898999999999999844e+01 6.495000000000000117e-22
3.001999999999999957e+01 1.065999999999999947e-21
3.107999999999999829e+01 1.720999999999999837e-21
3.217999999999999972e+01 2.750999999999999950e-21
3.331000000000000227e+01 4.310999999999999753e-21
3.449000000000000199e+01 6.660000000000000216e-21
3.571000000000000085e+01 1.014999999999999992e-20
3.696999999999999886e+01 1.526999999999999896e-20
3.827000000000000313e+01 2.267000000000000087e-20
3.963000000000000256e+01 3.325000000000000243e-20
4.103000000000000114e+01 4.826999999999999911e-20
4.247999999999999687e+01 6.912000000000000516e-20
4.397999999999999687e+01 9.786999999999999663e-20
4.553000000000000114e+01 1.371000000000000014e-19
4.714000000000000057e+01 1.898999999999999968e-19
4.879999999999999716e+01 2.603999999999999780e-19
5.053000000000000114e+01 3.533999999999999838e-19
5.231000000000000227e+01 4.753999999999999895e-19
5.415999999999999659e+01 6.326000000000000081e-19
5.607000000000000028e+01 8.339000000000000463e-19
5.804999999999999716e+01 1.088999999999999945e-18
6.010000000000000142e+01 1.410000000000000008e-18
6.222999999999999687e+01 1.807999999999999932e-18
6.442000000000000171e+01 2.298999999999999862e-18
6.670000000000000284e+01 2.902999999999999883e-18
6.906000000000000227e+01 3.628999999999999718e-18
7.148999999999999488e+01 4.498999999999999711e-18
7.401999999999999602e+01 5.533999999999999981e-18
7.662999999999999545e+01 6.751999999999999972e-18
7.934000000000000341e+01 8.176000000000000252e-18
8.214000000000000057e+01 9.820000000000000132e-18
8.504000000000000625e+01 1.171999999999999927e-17
8.804999999999999716e+01 1.388000000000000010e-17
9.115999999999999659e+01 1.632999999999999862e-17
9.437999999999999545e+01 1.908000000000000016e-17
9.770999999999999375e+01 2.215999999999999918e-17
1.012000000000000028e+02 2.556999999999999876e-17
1.047000000000000028e+02 2.933000000000000032e-17
1.084000000000000057e+02 3.344999999999999997e-17
1.122999999999999972e+02 3.793999999999999996e-17
1.162000000000000028e+02 4.280999999999999947e-17
1.202999999999999972e+02 4.804999999999999932e-17
1.245999999999999943e+02 5.367999999999999786e-17
1.290000000000000000e+02 5.970000000000000127e-17
1.335000000000000000e+02 6.611000000000000337e-17
1.383000000000000114e+02 7.288999999999999964e-17
1.430999999999999943e+02 8.004000000000000243e-17
1.481999999999999886e+02 8.756999999999999857e-17
1.534000000000000057e+02 9.546000000000000204e-17
1.589000000000000057e+02 1.037000000000000013e-16
1.645000000000000000e+02 1.122999999999999956e-16
1.703000000000000114e+02 1.212000000000000022e-16
1.763000000000000114e+02 1.304000000000000087e-16
1.825000000000000000e+02 1.400000000000000069e-16
1.890000000000000000e+02 1.499000000000000051e-16
1.955999999999999943e+02 1.600000000000000114e-16
2.025999999999999943e+02 1.703999999999999931e-16
2.096999999999999886e+02 1.810999999999999993e-16
2.170999999999999943e+02 1.919999999999999891e-16
2.248000000000000114e+02 2.031000000000000117e-16
2.326999999999999886e+02 2.143999999999999932e-16
2.409000000000000057e+02 2.258999999999999828e-16
2.495000000000000000e+02 2.375000000000000135e-16
2.583000000000000114e+02 2.491999999999999867e-16
2.673999999999999773e+02 2.610999999999999927e-16
2.768000000000000114e+02 2.730999999999999905e-16
2.866000000000000227e+02 2.850999999999999883e-16
2.966999999999999886e+02 2.971999999999999778e-16
3.071999999999999886e+02 3.093000000000000167e-16
3.181000000000000227e+02 3.214000000000000062e-16
3.293000000000000114e+02 3.334000000000000040e-16
3.408999999999999773e+02 3.454000000000000018e-16
3.530000000000000000e+02 3.573999999999999995e-16
3.653999999999999773e+02 3.692000000000000138e-16
3.783000000000000114e+02 3.808999999999999870e-16
3.916999999999999886e+02 3.925000000000000177e-16
4.055000000000000000e+02 4.039000000000000156e-16
4.198999999999999773e+02 4.150999999999999806e-16
4.346999999999999886e+02 4.262000000000000032e-16
4.501000000000000227e+02 4.369000000000000095e-16
4.660000000000000000e+02 4.474999999999999746e-16
4.823999999999999773e+02 4.577999999999999645e-16
4.995000000000000000e+02 4.678000000000000284e-16
5.171000000000000227e+02 4.774999999999999691e-16
5.353999999999999773e+02 4.868000000000000413e-16
5.542999999999999545e+02 4.959000000000000314e-16
5.737999999999999545e+02 5.045000000000000134e-16
5.941000000000000227e+02 5.127999999999999707e-16
6.151000000000000227e+02 5.208000000000000021e-16
6.367999999999999545e+02 5.283000000000000254e-16
6.592999999999999545e+02 5.353999999999999830e-16
6.826000000000000227e+02 5.420999999999999735e-16
7.067000000000000455e+02 5.483999999999999970e-16
7.317000000000000455e+02 5.542000000000000124e-16
7.575000000000000000e+02 5.595999999999999621e-16
7.842999999999999545e+02 5.645000000000000023e-16
8.120000000000000000e+02 5.689999999999999768e-16
8.407000000000000455e+02 5.730000000000000418e-16
8.703999999999999773e+02 5.765000000000000000e-16
9.011000000000000227e+02 5.795999999999999912e-16
9.328999999999999773e+02 5.821999999999999743e-16
9.658999999999999773e+02 5.843000000000000479e-16
1.000000000000000000e+03 5.859999999999999572e-16
-----------------------


C21 N2 Excitation 11.03 eV
COMMENT: generated by bolsig_convert.py
-----------------------
1.000000000000000000e+00 0.000000000000000000e+00
1.034999999999999920e+00 0.000000000000000000e+00
1.072000000000000064e+00 0.000000000000000000e+00
1.110000000000000098e+00 0.000000000000000000e+00
1.149000000000000021e+00 0.000000000000000000e+00
1.189999999999999947e+00 0.000000000000000000e+00
1.231999999999999984e+00 0.000000000000000000e+00
1.274999999999999911e+00 0.000000000000000000e+00
1.320000000000000062e+00 0.000000000000000000e+00
1.366999999999999993e+00 0.000000000000000000e+00
1.415000000000000036e+00 0.000000000000000000e+00
1.465000000000000080e+00 0.000000000000000000e+00
1.516999999999999904e+00 0.000000000000000000e+00
1.570000000000000062e+00 0.000000000000000000e+00
1.625999999999999890e+00 0.000000000000000000e+00
1.683000000000000052e+00 0.000000000000000000e+00
1.743000000000000105e+00 0.000000000000000000e+00
1.804000000000000048e+00 0.000000000000000000e+00
1.868000000000000105e+00 0.000000000000000000e+00
1.933999999999999941e+00 0.000000000000000000e+00
2.001999999999999780e+00 0.000000000000000000e+00
2.072999999999999954e+00 0.000000000000000000e+00
2.145999999999999908e+00 0.000000000000000000e+00
2.221999999999999975e+00 0.000000000000000000e+00
2.299999999999999822e+00 0.000000000000000000e+00
2.382000000000000117e+00 0.000000000000000000e+00
2.466000000000000192e+00 0.000000000000000000e+00
2.552999999999999936e+00 0.000000000000000000e+00
2.642999999999999794e+00 0.000000000000000000e+00
2.736000000000000210e+00 0.000000000000000000e+00
2.833000000000000185e+00 0.000000000000000000e+00
2.932999999999999829e+00 0.000000000000000000e+00
3.036999999999999922e+00 0.000000000000000000e+00
3.144000000000000128e+00 0.000000000000000000e+00
3.254999999999999893e+00 0.000000000000000000e+00
3.370000000000000107e+00 0.000000000000000000e+00
3.488999999999999879e+00 0.000000000000000000e+00
3.612000000000000099e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.871999999999999886e+00 0.000000000000000000e+00
4.009000000000000341e+00 0.000000000000000000e+00
4.150000000000000355e+00 0.000000000000000000e+00
4.296999999999999709e+00 0.000000000000000000e+00
4.448999999999999844e+00 0.000000000000000000e+00
4.605999999999999872e+00 0.000000000000000000e+00
4.769000000000000128e+00 0.000000000000000000e+00
4.937000000000000277e+00 0.000000000000000000e+00
5.110999999999999766e+00 0.000000000000000000e+00
5.291999999999999815e+00 0.000000000000000000e+00
5.479000000000000092e+00 0.000000000000000000e+00
5.671999999999999709e+00 0.000000000000000000e+00
5.873000000000000220e+00 0.000000000000000000e+00
6.080000000000000071e+00 0.000000000000000000e+00
6.294999999999999929e+00 0.000000000000000000e+00
6.517000000000000348e+00 0.000000000000000000e+00
6.748000000000000220e+00 0.000000000000000000e+00
6.985999999999999766e+00 0.000000000000000000e+00
7.232999999999999652e+00 0.000000000000000000e+00
7.488000000000000433e+00 0.000000000000000000e+00
7.753000000000000114e+00 0.000000000000000000e+00
8.025999999999999801e+00 0.000000000000000000e+00
8.310000000000000497e+00 0.000000000000000000e+00
8.602999999999999758e+00 0.000000000000000000e+00
8.907000000000000028e+00 0.000000000000000000e+00
9.221999999999999531e+00 0.000000000000000000e+00
9.548000000000000043e+00 0.000000000000000000e+00
9.884999999999999787e+00 0.000000000000000000e+00
1.023000000000000043e+01 0.000000000000000000e+00
1.059999999999999964e+01 0.000000000000000000e+00
1.097000000000000064e+01 0.000000000000000000e+00
1.135999999999999943e+01 0.000000000000000000e+00
1.175999999999999979e+01 0.000000000000000000e+00
1.216999999999999993e+01 0.000000000000000000e+00
1.259999999999999964e+01 0.000000000000000000e+00
1.305000000000000071e+01 0.000000000000000000e+00
1.350999999999999979e+01 0.000000000000000000e+00
1.399000000000000021e+01 0.000000000000000000e+00
1.448000000000000043e+01 0.000000000000000000e+00
1.499000000000000021e+01 0.000000000000000000e+00
1.551999999999999957e+01 0.000000000000000000e+00
1.607000000000000028e+01 0.000000000000000000e+00
1.664000000000000057e+01 0.000000000000000000e+00
1.723000000000000043e+01 0.000000000000000000e+00
1.782999999999999829e+01 0.000000000000000000e+00
1.846000000000000085e+01 0.000000000000000000e+00
1.912000000000000099e+01 0.000000000000000000e+00
1.978999999999999915e+01 1.386999999999999861e-26
2.048999999999999844e+01 3.351000000000000155e-26
2.121000000000000085e+01 7.862999999999999778e-26
2.196000000000000085e+01 1.793999999999999971e-25
2.273999999999999844e+01 3.982000000000000205e-25
2.353999999999999915e+01 8.609999999999999499e-25
2.437000000000000099e+01 2.024999999999999960e-24
2.523999999999999844e+01 4.214999999999999637e-24
2.612999999999999901e+01 8.573000000000000155e-24
2.705000000000000071e+01 1.705999999999999945e-23
2.801000000000000156e+01 3.323000000000000252e-23
2.898999999999999844e+01 6.341000000000000009e-23
3.001999999999999957e+01 1.186000000000000066e-22
3.107999999999999829e+01 2.175999999999999952e-22
3.217999999999999972e+01 3.936999999999999969e-22
3.331000000000000227e+01 6.959000000000000331e-22
3.449000000000000199e+01 1.208999999999999970e-21
3.571000000000000085e+01 2.065000000000000167e-21
3.696999999999999886e+01 3.468999999999999877e-21
3.827000000000000313e+01 5.736999999999999727e-21
3.963000000000000256e+01 9.341999999999999936e-21
4.103000000000000114e+01 1.501000000000000056e-20
4.247999999999999687e+01 2.372999999999999875e-20
4.397999999999999687e+01 3.698000000000000227e-20
4.553000000000000114e+01 5.682999999999999920e-20
4.714000000000000057e+01 8.617999999999999855e-20
4.879999999999999716e+01 1.289999999999999973e-19
5.053000000000000114e+01 1.905999999999999960e-19
5.231000000000000227e+01 2.785000000000000011e-19
5.415999999999999659e+01 4.014999999999999917e-19
5.607000000000000028e+01 5.718000000000000119e-19
5.804999999999999716e+01 8.050999999999999569e-19
6.010000000000000142e+01 1.121000000000000044e-18
6.222999999999999687e+01 1.542999999999999994e-18
6.442000000000000171e+01 2.099999999999999996e-18
6.670000000000000284e+01 2.834999999999999937e-18
6.906000000000000227e+01 3.778000000000000235e-18
7.148999999999999488e+01 4.983999999999999827e-18
7.401999999999999602e+01 6.508999999999999801e-18
7.662999999999999545e+01 8.417999999999999427e-18
7.934000000000000341e+01 1.077999999999999965e-17
8.214000000000000057e+01 1.367999999999999962e-17
8.504000000000000625e+01 1.721000000000000010e-17
8.804999999999999716e+01 2.144999999999999911e-17
9.115999999999999659e+01 2.651000000000000146e-17
9.437999999999999545e+01 3.249999999999999809e-17
9.770999999999999375e+01 3.951999999999999925e-17
1.012000000000000028e+02 4.768999999999999815e-17
1.047000000000000028e+02 5.713000000000000339e-17
1.084000000000000057e+02 6.794000000000000056e-17
1.122999999999999972e+02 8.023999999999999828e-17
1.162000000000000028e+02 9.413999999999999982e-17
1.202999999999999972e+02 1.098000000000000043e-16
1.245999999999999943e+02 1.272000000000000011e-16
1.290000000000000000e+02 1.464999999999999893e-16
1.335000000000000000e+02 1.679000000000000018e-16
1.383000000000000114e+02 1.913999999999999892e-16
1.430999999999999943e+02 2.170000000000000009e-16
1.481999999999999886e+02 2.448999999999999957e-16
1.534000000000000057e+02 2.751000000000000230e-16
1.589000000000000057e+02 3.076000000000000088e-16
1.645000000000000000e+02 3.424999999999999941e-16
1.703000000000000114e+02 3.799000000000000200e-16
1.763000000000000114e+02 4.197999999999999880e-16
1.825000000000000000e+02 4.621999999999999966e-16
1.890000000000000000e+02 5.070999999999999965e-16
1.955999999999999943e+02 5.545000000000000370e-16
2.025999999999999943e+02 6.044000000000000195e-16
2.096999999999999886e+02 6.567000000000000016e-16
2.170999999999999943e+02 7.113999999999999833e-16
2.248000000000000114e+02 7.684999999999999645e-16
2.326999999999999886e+02 8.277999999999999617e-16
2.409000000000000057e+02 8.894000000000000160e-16
2.495000000000000000e+02 9.529999999999999056e-16
2.583000000000000114e+02 1.018999999999999992e-15
2.673999999999999773e+02 1.086000000000000095e-15
2.768000000000000114e+02 1.156000000000000049e-15
2.866000000000000227e+02 1.227000000000000019e-15
2.966999999999999886e+02 1.300000000000000022e-15
3.071999999999999886e+02 1.374000000000000041e-15
3.181000000000000227e+02 1.449000000000000077e-15
3.293000000000000114e+02 1.525999999999999947e-15
3.408999999999999773e+02 1.603000000000000015e-15
3.530000000000000000e+02 1.680999999999999902e-15
3.653999999999999773e+02 1.760000000000000003e-15
3.783000000000000114e+02 1.839999999999999922e-15
3.916999999999999886e+02 1.918999999999999825e-15
4.055000000000000000e+02 1.998999999999999942e-15
4.198999999999999773e+02 2.077999999999999845e-15
4.346999999999999886e+02 2.157000000000000143e-15
4.501000000000000227e+02 2.236000000000000046e-15
4.660000000000000000e+02 2.314999999999999949e-15
4.823999999999999773e+02 2.391999999999999820e-15
4.995000000000000000e+02 2.469000000000000085e-15
5.171000000000000227e+02 2.543999999999999923e-15
5.353999999999999773e+02 2.617999999999999942e-15
5.542999999999999545e+02 2.691000000000000142e-15
5.737999999999999545e+02 2.761999999999999916e-15
5.941000000000000227e+02 2.831000000000000051e-15
6.151000000000000227e+02 2.898000000000000153e-15
6.367999999999999545e+02 2.964000000000000043e-15
6.592999999999999545e+02 3.027000000000000080e-15
6.826000000000000227e+02 3.088000000000000085e-15
7.067000000000000455e+02 3.145999999999999845e-15
7.317000000000000455e+02 3.201999999999999966e-15
7.575000000000000000e+02 3.254999999999999841e-15
7.842999999999999545e+02 3.304999999999999864e-15
8.120000000000000000e+02 3.352999999999999855e-15
8.407000000000000455e+02 3.397000000000000176e-15
8.703999999999999773e+02 3.439000000000000070e-15
9.011000000000000227e+02 3.478000000000000112e-15
9.328999999999999773e+02 3.513000000000000089e-15
9.658999999999999773e+02 3.544999999999999820e-15
1.000000000000000000e+03 3.574000000000000094e-15
-----------------------


C22 N2 Excitation 11.87 eV
COMMENT: generated by bolsig_convert.py
-----------------------
1.000000000000000000e+00 0.000000000000000000e+00
1.034999999999999920e+00 0.000000000000000000e+00
1.072000000000000064e+00 0.000000000000000000e+00
1.110000000000000098e+00 0.000000000000000000e+00
1.149000000000000021e+00 0.000000000000000000e+00
1.189999999999999947e+00 0.000000000000000000e+00
1.231999999999999984e+00 0.000000000000000000e+00
1.274999999999999911e+00 0.000000000000000000e+00
1.320000000000000062e+00 0.000000000000000000e+00
1.366999999999999993e+00 0.000000000000000000e+00
1.415000000000000036e+00 0.000000000000000000e+00
1.465000000000000080e+00 0.000000000000000000e+00
1.516999999999999904e+00 0.000000000000000000e+00
1.570000000000000062e+00 0.000000000000000000e+00
1.625999999999999890e+00 0.000000000000000000e+00
1.683000000000000052e+00 0.000000000000000000e+00
1.743000000000000105e+00 0.000000000000000000e+00
1.804000000000000048e+00 0.000000000000000000e+00
1.868000000000000105e+00 0.000000000000000000e+00
1.933999999999999941e+00 0.000000000000000000e+00
2.001999999999999780e+00 0.000000000000000000e+00
2.072999999999999954e+00 0.000000000000000000e+00
2.145999999999999908e+00 0.000000000000000000e+00
2.221999999999999975e+00 0.000000000000000000e+00
2.299999999999999822e+00 0.000000000000000000e+00
2.382000000000000117e+00 0.000000000000000000e+00
2.466000000000000192e+00 0.000000000000000000e+00
2.552999999999999936e+00 0.000000000000000000e+00
2.642999999999999794e+00 0.000000000000000000e+00
2.736000000000000210e+00 0.000000000000000000e+00
2.833000000000000185e+00 0.000000000000000000e+00
2.932999999999999829e+00 0.000000000000000000e+00
3.036999999999999922e+00 0.000000000000000000e+00
3.144000000000000128e+00 0.000000000000000000e+00
3.254999999999999893e+00 0.000000000000000000e+00
3.370000000000000107e+00 0.000000000000000000e+00
3.488999999999999879e+00 0.000000000000000000e+00
3.612000000000000099e+00 0.000000000000000000e+00
3.740000000000000213e+00 0.000000000000000000e+00
3.871999999999999886e+00 0.000000000000000000e+00
4.009000000000000341e+00 0.000000000000000000e+00
4.150000000000000355e+00 0.000000000000000000e+00
4.296999999999999709e+00 0.000000000000000000e+00
4.448999999999999844e+00 0.000000000000000000e+00
4.605999999999999872e+00 0.000000000000000000e+00
4.769000000000000128e+00 0.000000000000000000e+00
4.937000000000000277e+00 0.000000000000000000e+00
5.110999999999999766e+00 0.000000000000000000e+00
5.291999999999999815e+00 0.000000000000000000e+00
5.479000000000000092e+00 0.000000000000000000e+00
5.671999999999999709e+00 0.000000000000000000e+00
5.873000000000000220e+00 0.000000000000000000e+00
6.080000000000000071e+00 0.000000000000000000e+00
6.294999999999999929e+00 0.000000000000000000e+00
6.517000000000000348e+00 0.000000000000000000e+00
6.748000000000000220e+00 0.000000000000000000e+00
6.985999999999999766e+00 0.000000000000000000e+00
7.232999999999999652e+00 0.000000000000000000e+00
7.488000000000000433e+00 0.000000000000000000e+00
7.753000000000000114e+00 0.000000000000000000e+00
8.025999999999999801e+00 0.000000000000000000e+00
8.310000000000000497e+00 0.000000000000000000e+00
8.602999999999999758e+00 0.000000000000000000e+00
8.907000000000000028e+00 0.000000000000000000e+00
9.221999999999999531e+00 0.000000000000000000e+00
9.548000000000000043e+00 0.000000000000000000e+00
9.884999999999999787e+00 0.000000000000000000e+00
1.023000000000000043e+01 0.000000000000000000e+00
1.059999999999999964e+01 0.000000000000000000e+00
1.097000000000000064e+01 0.000000000000000000e+00
1.135999999999999943e+01 0.000000000000000000e+00
1.175999999999999979e+01 0.000000000000000000e+00
1.216999999999999993e+01 0.000000000000000000e+00
1.259999999999999964e+01 0.000000000000000000e+00
1.305000000000000071e+01 0.000000000000000000e+00
1.350999999999999979e+01 0.000000000000000000e+00
1.399000000000000021e+01 0.000000000000000000e+00
1.448000000000000043e+01 0.000000000000000000e+00
1.499000000000000021e+01 0.000000000000000000e+00
1.551999999999999957e+01 0.000000000000000000e+00
1.607000000000000028e+01 0.000000000000000000e+00
1.664000000000000057e+01 0.000000000000000000e+00
1.723000000000000043e+01 0.000000000000000000e+00
1.782999999999999829e+01 0.000000000000000000e+00
1.846000000000000085e+01 0.000000000000000000e+00
1.912000000000000099e+01 0.000000000000000000e+00
1.978999999999999915e+01 1.805000000000000055e-27
2.048999999999999844e+01 4.479999999999999656e-27
2.121000000000000085e+01 1.077000000000000021e-26
2.196000000000000085e+01 2.513000000000000002e-26
2.273999999999999844e+01 5.693000000000000182e-26
2.353999999999999915e+01 1.253999999999999893e-25
2.437000000000000099e+01 2.556000000000000110e-25
2.523999999999999844e+01 5.298999999999999690e-25
2.612999999999999901e+01 1.071000000000000090e-24
2.705000000000000071e+01 2.111000000000000084e-24
2.801000000000000156e+01 4.063000000000000067e-24
2.898999999999999844e+01 7.643999999999999663e-24
3.001999999999999957e+01 1.406000000000000060e-23
3.107999999999999829e+01 2.532000000000000031e-23
3.217999999999999972e+01 4.486999999999999749e-23
3.331000000000000227e+01 7.753999999999999866e-23
3.449000000000000199e+01 1.315000000000000002e-22
3.571000000000000085e+01 2.187000000000000178e-22
3.696999999999999886e+01 3.575000000000000097e-22
3.827000000000000313e+01 5.743999999999999606e-22
3.963000000000000256e+01 9.074000000000000654e-22
4.103000000000000114e+01 1.413000000000000091e-21
4.247999999999999687e+01 2.161999999999999912e-21
4.397999999999999687e+01 3.259000000000000128e-21
4.553000000000000114e+01 4.840000000000000132e-21
4.714000000000000057e+01 7.086999999999999405e-21
4.879999999999999716e+01 1.023999999999999959e-20
5.053000000000000114e+01 1.459000000000000106e-20
5.231000000000000227e+01 2.054999999999999911e-20
5.415999999999999659e+01 2.855000000000000288e-20
5.607000000000000028e+01 3.916999999999999794e-20
5.804999999999999716e+01 5.313000000000000276e-20
6.010000000000000142e+01 7.122000000000000266e-20
6.222999999999999687e+01 9.440000000000000421e-20
6.442000000000000171e+01 1.237999999999999932e-19
6.670000000000000284e+01 1.607999999999999937e-19
6.906000000000000227e+01 2.063999999999999908e-19
7.148999999999999488e+01 2.622999999999999929e-19
7.401999999999999602e+01 3.299999999999999774e-19
7.662999999999999545e+01 4.111999999999999767e-19
7.934000000000000341e+01 5.077000000000000025e-19
8.214000000000000057e+01 6.209000000000000049e-19
8.504000000000000625e+01 7.531999999999999673e-19
8.804999999999999716e+01 9.058999999999999328e-19
9.115999999999999659e+01 1.081000000000000064e-18
9.437999999999999545e+01 1.279999999999999930e-18
9.770999999999999375e+01 1.503000000000000014e-18
1.012000000000000028e+02 1.754000000000000065e-18
1.047000000000000028e+02 2.032000000000000050e-18
1.084000000000000057e+02 2.337999999999999808e-18
1.122999999999999972e+02 2.674000000000000177e-18
1.162000000000000028e+02 3.040000000000000002e-18
1.202999999999999972e+02 3.436000000000000052e-18
1.245999999999999943e+02 3.863000000000000168e-18
1.290000000000000000e+02 4.321000000000000350e-18
1.335000000000000000e+02 4.811000000000000054e-18
1.383000000000000114e+02 5.330000000000000143e-18
1.430999999999999943e+02 5.880000000000000297e-18
1.481999999999999886e+02 6.461999999999999974e-18
1.534000000000000057e+02 7.072999999999999265e-18
1.589000000000000057e+02 7.714000000000000707e-18
1.645000000000000000e+02 8.383000000000000768e-18
