BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
N2                                                              
cross_section_air_IST_Lisbon.txt
--------------------------------------------------
O2                                                              
cross_section_air_IST_Lisbon.txt
 
 
 
 Transport coefficients
A1     Mean energy (eV)                                                
A2     Mobility *N (1/m/V/s)                                           
A6     Diffusion coefficient *N (1/m/s)                                
A11    Energy mobility *N (1/m/V/s)                                    
A12    Energy diffusion coef. D*N (1/m/s)                              
A13    Total collision freq. /N (m3/s)                                 
A14    Momentum frequency /N (m3/s)                                    
A16    Total ionization freq. /N (m3/s)                                
A17    Total attachment freq. /N (m3/s)                                
A18    Townsend ioniz. coef. alpha/N (m2)                              
A19    Townsend attach. coef. eta/N (m2)                               
A20    Power /N (eV m3/s)                                              
A21    Elastic power loss /N (eV m3/s)                                 
A22    Inelastic power loss /N (eV m3/s)                               
A23    Growth power /N (eV m3/s)                                       
A27    Maximum energy                                                  
A28    # of iterations                                                 
A29    # of grid trials                                                
          R#    E/N (Td)      A1          A2          A6         A11         A12         A13         A14         A16         A17         A18         A19         A20         A21         A22         A23         A27         A28         A29    
         255   5.791      0.7840      0.5158E-13  0.1960E-15  0.1715E-16  0.1372E-17  0.1324E-19  0.1285E-20  0.3477E-23  0.1328E-24  0.1819E-28  0.3261E-30   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3290E-13  0.3823E-15  0.1252E-15  0.2788E-16  0.6913E-17  0.8148E-17  0.1088E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         256   5.831      0.7863      0.5171E-13  0.1986E-15  0.1761E-16  0.1429E-17  0.1410E-19  0.1397E-20  0.3844E-23  0.1473E-24  0.2066E-28  0.3722E-30   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3298E-13  0.3817E-15  0.1254E-15  0.2798E-16  0.6953E-17  0.8232E-17  0.1110E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         257   5.872      0.7887      0.5182E-13  0.2012E-15  0.1808E-16  0.1488E-17  0.1502E-19  0.1517E-20  0.4250E-23  0.1636E-24  0.2350E-28  0.4256E-30   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3307E-13  0.3811E-15  0.1255E-15  0.2808E-16  0.6992E-17  0.8315E-17  0.1133E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         258   5.913      0.7910      0.5194E-13  0.2039E-15  0.1855E-16  0.1549E-17  0.1600E-19  0.1647E-20  0.4701E-23  0.1817E-24  0.2677E-28  0.4873E-30   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3315E-13  0.3805E-15  0.1256E-15  0.2818E-16  0.7031E-17  0.8399E-17  0.1156E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         259   5.954      0.7933      0.5206E-13  0.2065E-15  0.1904E-16  0.1612E-17  0.1704E-19  0.1787E-20  0.5199E-23  0.2020E-24  0.3054E-28  0.5589E-30   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3323E-13  0.3798E-15  0.1257E-15  0.2828E-16  0.7070E-17  0.8483E-17  0.1180E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         260   5.995      0.7956      0.5218E-13  0.2092E-15  0.1954E-16  0.1677E-17  0.1813E-19  0.1939E-20  0.5751E-23  0.2248E-24  0.3489E-28  0.6419E-30   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3331E-13  0.3792E-15  0.1259E-15  0.2837E-16  0.7108E-17  0.8567E-17  0.1203E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         261   6.036      0.7979      0.5230E-13  0.2120E-15  0.2005E-16  0.1745E-17  0.1929E-19  0.2102E-20  0.6363E-23  0.2503E-24  0.3992E-28  0.7385E-30   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3339E-13  0.3786E-15  0.1260E-15  0.2847E-16  0.7146E-17  0.8650E-17  0.1227E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         262   6.078      0.8002      0.5241E-13  0.2147E-15  0.2057E-16  0.1815E-17  0.2052E-19  0.2278E-20  0.7039E-23  0.2788E-24  0.4573E-28  0.8508E-30   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3346E-13  0.3780E-15  0.1261E-15  0.2856E-16  0.7184E-17  0.8734E-17  0.1252E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         263   6.120      0.8024      0.5253E-13  0.2175E-15  0.2109E-16  0.1887E-17  0.2182E-19  0.2468E-20  0.7788E-23  0.3108E-24  0.5247E-28  0.9816E-30   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3354E-13  0.3773E-15  0.1262E-15  0.2865E-16  0.7221E-17  0.8818E-17  0.1276E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         264   6.163      0.8047      0.5265E-13  0.2203E-15  0.2163E-16  0.1962E-17  0.2320E-19  0.2672E-20  0.8617E-23  0.3466E-24  0.6027E-28  0.1134E-29   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3362E-13  0.3767E-15  0.1263E-15  0.2874E-16  0.7258E-17  0.8902E-17  0.1301E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         265   6.206      0.8069      0.5276E-13  0.2231E-15  0.2218E-16  0.2039E-17  0.2466E-19  0.2892E-20  0.9533E-23  0.3867E-24  0.6932E-28  0.1312E-29   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3370E-13  0.3761E-15  0.1264E-15  0.2883E-16  0.7295E-17  0.8986E-17  0.1327E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         266   6.249      0.8091      0.5288E-13  0.2259E-15  0.2274E-16  0.2119E-17  0.2620E-19  0.3129E-20  0.1055E-22  0.4317E-24  0.7983E-28  0.1520E-29   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3377E-13  0.3754E-15  0.1265E-15  0.2892E-16  0.7332E-17  0.9070E-17  0.1352E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         267   6.292      0.8113      0.5299E-13  0.2288E-15  0.2331E-16  0.2201E-17  0.2783E-19  0.3384E-20  0.1167E-22  0.4820E-24  0.9205E-28  0.1763E-29   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3385E-13  0.3748E-15  0.1265E-15  0.2900E-16  0.7368E-17  0.9154E-17  0.1378E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         268   6.336      0.8136      0.5310E-13  0.2317E-15  0.2389E-16  0.2286E-17  0.2955E-19  0.3657E-20  0.1290E-22  0.5384E-24  0.1063E-27  0.2048E-29   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3392E-13  0.3742E-15  0.1266E-15  0.2909E-16  0.7404E-17  0.9238E-17  0.1404E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         269   6.380      0.8157      0.5322E-13  0.2346E-15  0.2448E-16  0.2374E-17  0.3137E-19  0.3952E-20  0.1427E-22  0.6015E-24  0.1228E-27  0.2381E-29   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3400E-13  0.3735E-15  0.1267E-15  0.2917E-16  0.7440E-17  0.9322E-17  0.1431E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         270   6.424      0.8179      0.5333E-13  0.2375E-15  0.2509E-16  0.2465E-17  0.3329E-19  0.4267E-20  0.1578E-22  0.6722E-24  0.1421E-27  0.2772E-29   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3407E-13  0.3729E-15  0.1268E-15  0.2925E-16  0.7475E-17  0.9406E-17  0.1458E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         271   6.469      0.8201      0.5344E-13  0.2405E-15  0.2570E-16  0.2559E-17  0.3532E-19  0.4606E-20  0.1745E-22  0.7513E-24  0.1645E-27  0.3231E-29   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3414E-13  0.3723E-15  0.1268E-15  0.2933E-16  0.7510E-17  0.9490E-17  0.1485E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         272   6.513      0.8222      0.5355E-13  0.2434E-15  0.2633E-16  0.2655E-17  0.3747E-19  0.4970E-20  0.1929E-22  0.8398E-24  0.1907E-27  0.3769E-29   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3422E-13  0.3716E-15  0.1269E-15  0.2941E-16  0.7544E-17  0.9574E-17  0.1512E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         273   6.559      0.8243      0.5367E-13  0.2464E-15  0.2697E-16  0.2755E-17  0.3973E-19  0.5360E-20  0.2132E-22  0.9388E-24  0.2212E-27  0.4401E-29   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3429E-13  0.3710E-15  0.1270E-15  0.2949E-16  0.7579E-17  0.9658E-17  0.1540E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         274   6.604      0.8264      0.5378E-13  0.2495E-15  0.2762E-16  0.2858E-17  0.4212E-19  0.5779E-20  0.2356E-22  0.1049E-23  0.2568E-27  0.5143E-29   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3436E-13  0.3703E-15  0.1270E-15  0.2957E-16  0.7613E-17  0.9742E-17  0.1568E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         275   6.650      0.8285      0.5389E-13  0.2525E-15  0.2828E-16  0.2964E-17  0.4464E-19  0.6227E-20  0.2603E-22  0.1173E-23  0.2983E-27  0.6015E-29   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3443E-13  0.3697E-15  0.1271E-15  0.2965E-16  0.7647E-17  0.9825E-17  0.1596E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         276   6.696      0.8306      0.5399E-13  0.2556E-15  0.2895E-16  0.3074E-17  0.4730E-19  0.6707E-20  0.2875E-22  0.1311E-23  0.3468E-27  0.7040E-29   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3450E-13  0.3691E-15  0.1271E-15  0.2972E-16  0.7680E-17  0.9909E-17  0.1625E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         277   6.743      0.8327      0.5410E-13  0.2587E-15  0.2964E-16  0.3187E-17  0.5011E-19  0.7221E-20  0.3175E-22  0.1466E-23  0.4035E-27  0.8246E-29   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3457E-13  0.3684E-15  0.1272E-15  0.2979E-16  0.7713E-17  0.9993E-17  0.1654E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         278   6.789      0.8347      0.5421E-13  0.2618E-15  0.3033E-16  0.3303E-17  0.5306E-19  0.7771E-20  0.3505E-22  0.1638E-23  0.4696E-27  0.9664E-29   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3464E-13  0.3678E-15  0.1272E-15  0.2987E-16  0.7746E-17  0.1008E-16  0.1683E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         279   6.837      0.8368      0.5432E-13  0.2650E-15  0.3104E-16  0.3423E-17  0.5618E-19  0.8359E-20  0.3869E-22  0.1831E-23  0.5469E-27  0.1133E-28   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3471E-13  0.3671E-15  0.1273E-15  0.2994E-16  0.7778E-17  0.1016E-16  0.1712E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         280   6.884      0.8388      0.5443E-13  0.2682E-15  0.3177E-16  0.3546E-17  0.5946E-19  0.8988E-20  0.4268E-22  0.2046E-23  0.6371E-27  0.1329E-28   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3478E-13  0.3665E-15  0.1273E-15  0.3001E-16  0.7810E-17  0.1024E-16  0.1742E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         281   6.932      0.8408      0.5453E-13  0.2714E-15  0.3250E-16  0.3674E-17  0.6292E-19  0.9661E-20  0.4708E-22  0.2285E-23  0.7424E-27  0.1560E-28   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3484E-13  0.3658E-15  0.1273E-15  0.3008E-16  0.7842E-17  0.1033E-16  0.1772E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         282   6.980      0.8428      0.5464E-13  0.2746E-15  0.3325E-16  0.3805E-17  0.6656E-19  0.1038E-19  0.5192E-22  0.2552E-23  0.8655E-27  0.1831E-28   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3491E-13  0.3652E-15  0.1274E-15  0.3015E-16  0.7874E-17  0.1041E-16  0.1803E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         283   7.028      0.8448      0.5475E-13  0.2779E-15  0.3401E-16  0.3940E-17  0.7040E-19  0.1115E-19  0.5724E-22  0.2850E-23  0.1009E-26  0.2150E-28   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3498E-13  0.3646E-15  0.1274E-15  0.3021E-16  0.7905E-17  0.1049E-16  0.1834E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         284   7.077      0.8468      0.5485E-13  0.2811E-15  0.3478E-16  0.4079E-17  0.7443E-19  0.1196E-19  0.6307E-22  0.3181E-23  0.1177E-26  0.2524E-28   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3504E-13  0.3639E-15  0.1274E-15  0.3028E-16  0.7936E-17  0.1058E-16  0.1865E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         285   7.126      0.8487      0.5495E-13  0.2845E-15  0.3557E-16  0.4222E-17  0.7868E-19  0.1284E-19  0.6949E-22  0.3549E-23  0.1372E-26  0.2965E-28   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3511E-13  0.3633E-15  0.1275E-15  0.3034E-16  0.7966E-17  0.1066E-16  0.1896E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         286   7.176      0.8507      0.5506E-13  0.2878E-15  0.3637E-16  0.4370E-17  0.8315E-19  0.1377E-19  0.7653E-22  0.3959E-23  0.1601E-26  0.3482E-28   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3517E-13  0.3627E-15  0.1275E-15  0.3040E-16  0.7997E-17  0.1074E-16  0.1928E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         287   7.225      0.8526      0.5516E-13  0.2912E-15  0.3719E-16  0.4521E-17  0.8786E-19  0.1476E-19  0.8425E-22  0.4415E-23  0.1867E-26  0.4090E-28   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3524E-13  0.3620E-15  0.1275E-15  0.3047E-16  0.8027E-17  0.1083E-16  0.1960E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         288   7.275      0.8545      0.5527E-13  0.2945E-15  0.3802E-16  0.4678E-17  0.9280E-19  0.1582E-19  0.9272E-22  0.4922E-23  0.2177E-26  0.4803E-28   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3530E-13  0.3614E-15  0.1275E-15  0.3053E-16  0.8056E-17  0.1091E-16  0.1992E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         289   7.326      0.8564      0.5537E-13  0.2979E-15  0.3886E-16  0.4838E-17  0.9800E-19  0.1695E-19  0.1020E-21  0.5485E-23  0.2539E-26  0.5640E-28   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3536E-13  0.3607E-15  0.1275E-15  0.3059E-16  0.8086E-17  0.1099E-16  0.2025E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         290   7.377      0.8583      0.5547E-13  0.3014E-15  0.3972E-16  0.5004E-17  0.1035E-18  0.1815E-19  0.1122E-21  0.6110E-23  0.2961E-26  0.6621E-28   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3543E-13  0.3601E-15  0.1275E-15  0.3065E-16  0.8115E-17  0.1108E-16  0.2058E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         291   7.428      0.8602      0.5557E-13  0.3049E-15  0.4059E-16  0.5173E-17  0.1092E-18  0.1942E-19  0.1233E-21  0.6803E-23  0.3451E-26  0.7772E-28   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3549E-13  0.3595E-15  0.1275E-15  0.3070E-16  0.8143E-17  0.1116E-16  0.2091E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         292   7.480      0.8621      0.5567E-13  0.3084E-15  0.4148E-16  0.5348E-17  0.1152E-18  0.2078E-19  0.1355E-21  0.7572E-23  0.4022E-26  0.9119E-28   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3555E-13  0.3589E-15  0.1275E-15  0.3076E-16  0.8172E-17  0.1124E-16  0.2125E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         293   7.531      0.8639      0.5577E-13  0.3119E-15  0.4238E-16  0.5528E-17  0.1216E-18  0.2222E-19  0.1489E-21  0.8424E-23  0.4687E-26  0.1070E-27   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3561E-13  0.3582E-15  0.1275E-15  0.3081E-16  0.8200E-17  0.1132E-16  0.2159E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         294   7.584      0.8658      0.5587E-13  0.3154E-15  0.4329E-16  0.5713E-17  0.1282E-18  0.2376E-19  0.1635E-21  0.9368E-23  0.5459E-26  0.1254E-27   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3567E-13  0.3576E-15  0.1275E-15  0.3087E-16  0.8228E-17  0.1141E-16  0.2193E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         295   7.636      0.8676      0.5597E-13  0.3190E-15  0.4422E-16  0.5903E-17  0.1352E-18  0.2539E-19  0.1795E-21  0.1041E-22  0.6356E-26  0.1470E-27   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3573E-13  0.3570E-15  0.1275E-15  0.3092E-16  0.8255E-17  0.1149E-16  0.2227E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         296   7.689      0.8695      0.5607E-13  0.3226E-15  0.4517E-16  0.6098E-17  0.1426E-18  0.2712E-19  0.1970E-21  0.1157E-22  0.7398E-26  0.1722E-27   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3579E-13  0.3563E-15  0.1275E-15  0.3097E-16  0.8283E-17  0.1157E-16  0.2262E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         297   7.743      0.8713      0.5617E-13  0.3262E-15  0.4613E-16  0.6299E-17  0.1503E-18  0.2896E-19  0.2161E-21  0.1285E-22  0.8606E-26  0.2017E-27   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3585E-13  0.3557E-15  0.1275E-15  0.3103E-16  0.8309E-17  0.1165E-16  0.2297E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         298   7.796      0.8731      0.5627E-13  0.3299E-15  0.4710E-16  0.6505E-17  0.1583E-18  0.3091E-19  0.2369E-21  0.1426E-22  0.1001E-25  0.2361E-27   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3591E-13  0.3551E-15  0.1275E-15  0.3108E-16  0.8336E-17  0.1174E-16  0.2333E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         299   7.850      0.8748      0.5637E-13  0.3336E-15  0.4809E-16  0.6717E-17  0.1668E-18  0.3298E-19  0.2597E-21  0.1583E-22  0.1163E-25  0.2761E-27   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3596E-13  0.3545E-15  0.1275E-15  0.3112E-16  0.8362E-17  0.1182E-16  0.2368E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         300   7.905      0.8766      0.5646E-13  0.3373E-15  0.4910E-16  0.6935E-17  0.1757E-18  0.3518E-19  0.2845E-21  0.1755E-22  0.1351E-25  0.3228E-27   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3602E-13  0.3539E-15  0.1275E-15  0.3117E-16  0.8388E-17  0.1190E-16  0.2404E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         301   7.960      0.8784      0.5656E-13  0.3411E-15  0.5012E-16  0.7158E-17  0.1850E-18  0.3751E-19  0.3116E-21  0.1945E-22  0.1569E-25  0.3772E-27   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3608E-13  0.3533E-15  0.1275E-15  0.3122E-16  0.8414E-17  0.1198E-16  0.2441E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         302   8.015      0.8801      0.5666E-13  0.3448E-15  0.5116E-16  0.7388E-17  0.1948E-18  0.3998E-19  0.3411E-21  0.2155E-22  0.1821E-25  0.4405E-27   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3614E-13  0.3526E-15  0.1275E-15  0.3127E-16  0.8440E-17  0.1206E-16  0.2477E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         303   8.071      0.8819      0.5675E-13  0.3486E-15  0.5222E-16  0.7623E-17  0.2050E-18  0.4259E-19  0.3733E-21  0.2387E-22  0.2112E-25  0.5140E-27   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3619E-13  0.3520E-15  0.1274E-15  0.3131E-16  0.8465E-17  0.1214E-16  0.2514E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         304   8.127      0.8836      0.5685E-13  0.3525E-15  0.5329E-16  0.7865E-17  0.2157E-18  0.4536E-19  0.4083E-21  0.2642E-22  0.2448E-25  0.5993E-27   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3625E-13  0.3514E-15  0.1274E-15  0.3136E-16  0.8489E-17  0.1223E-16  0.2552E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         305   8.183      0.8853      0.5694E-13  0.3563E-15  0.5438E-16  0.8114E-17  0.2270E-18  0.4829E-19  0.4465E-21  0.2923E-22  0.2836E-25  0.6984E-27   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3630E-13  0.3508E-15  0.1274E-15  0.3140E-16  0.8514E-17  0.1231E-16  0.2589E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         306   8.240      0.8870      0.5704E-13  0.3602E-15  0.5549E-16  0.8368E-17  0.2387E-18  0.5139E-19  0.4880E-21  0.3232E-22  0.3283E-25  0.8133E-27   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3636E-13  0.3502E-15  0.1274E-15  0.3144E-16  0.8538E-17  0.1239E-16  0.2627E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         307   8.297      0.8887      0.5713E-13  0.3641E-15  0.5661E-16  0.8630E-17  0.2510E-18  0.5466E-19  0.5332E-21  0.3572E-22  0.3799E-25  0.9464E-27   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3641E-13  0.3496E-15  0.1273E-15  0.3149E-16  0.8562E-17  0.1247E-16  0.2666E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         308   8.355      0.8904      0.5723E-13  0.3681E-15  0.5775E-16  0.8898E-17  0.2639E-18  0.5813E-19  0.5824E-21  0.3945E-22  0.4392E-25  0.1100E-26   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3646E-13  0.3490E-15  0.1273E-15  0.3153E-16  0.8586E-17  0.1255E-16  0.2704E-18   0.000       0.000       0.000       0.000       0.000       0.000    
         309   8.412      0.8920      0.5732E-13  0.3721E-15  0.5891E-16  0.9174E-17  0.2774E-18  0.6180E-19  0.6358E-21  0.4356E-22  0.5075E-25  0.1279E-26   0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      0.3652E-13  0.3484E-15  0.1273E-15  0.3157E-16  0.8609E-17  0.1263E-16  0.2743E-18   0.000       0.000       0.000       0.000       0.000       0.000    
